date,rowiki (100+),rowiki (5+),rowiki (all)
2013/09/05,43,334,974
2013/09/06,45,334,966
2013/09/07,46,337,962
2013/09/08,46,342,964
2013/09/09,45,347,967
2013/09/10,44,355,978
2013/09/11,43,353,990
2013/09/12,42,349,979
2013/09/13,41,344,973
2013/09/14,39,341,965
2013/09/15,39,344,959
2013/09/16,39,340,957
2013/09/17,40,342,955
2013/09/18,42,336,945
2013/09/19,44,338,964
2013/09/20,44,336,967
2013/09/21,45,335,962
2013/09/22,45,331,951
2013/09/23,46,329,942
2013/09/24,46,332,940
2013/09/25,46,332,937
2013/09/26,44,328,943
2013/09/27,43,325,944
2013/09/28,42,319,932
2013/09/29,42,315,912
2013/09/30,44,309,908
2013/10/01,43,304,913
2013/10/02,43,304,910
2013/10/03,42,301,903
2013/10/04,43,300,904
2013/10/05,43,296,896
2013/10/06,40,293,899
2013/10/07,41,298,907
2013/10/08,41,296,923
2013/10/09,39,291,923
2013/10/10,40,287,917
2013/10/11,40,286,924
2013/10/12,39,286,917
2013/10/13,41,282,913
2013/10/14,42,280,928
2013/10/15,43,277,934
2013/10/16,43,278,930
2013/10/17,41,277,934
2013/10/18,40,279,941
2013/10/19,39,273,933
2013/10/20,38,271,937
2013/10/21,37,274,943
2013/10/22,38,270,933
2013/10/23,38,272,934
2013/10/24,38,280,951
2013/10/25,36,278,949
2013/10/26,36,276,949
2013/10/27,37,274,953
2013/10/28,37,277,958
2013/10/29,37,275,959
2013/10/30,36,278,961
2013/10/31,37,283,963
2013/11/01,36,286,963
2013/11/02,37,286,957
2013/11/03,37,279,949
2013/11/04,37,280,957
2013/11/05,35,275,951
2013/11/06,34,272,951
2013/11/07,34,271,951
2013/11/08,34,273,963
2013/11/09,30,276,970
2013/11/10,33,284,969
2013/11/11,33,282,969
2013/11/12,32,284,973
2013/11/13,32,283,963
2013/11/14,31,282,962
2013/11/15,32,290,963
2013/11/16,31,290,961
2013/11/17,32,293,953
2013/11/18,33,293,953
2013/11/19,32,295,954
2013/11/20,31,295,959
2013/11/21,32,298,968
2013/11/22,33,297,962
2013/11/23,34,297,964
2013/11/24,38,303,967
2013/11/25,39,302,964
2013/11/26,39,304,970
2013/11/27,38,305,988
2013/11/28,38,308,994
2013/11/29,39,309,999
2013/11/30,38,304,1005
2013/12/01,39,301,998
2013/12/02,38,301,1000
2013/12/03,37,296,1008
2013/12/04,38,298,1006
2013/12/05,37,300,1017
2013/12/06,37,308,1005
2013/12/07,35,308,991
2013/12/08,35,306,984
2013/12/09,37,303,980
2013/12/10,39,299,983
2013/12/11,38,300,993
2013/12/12,37,300,1004
2013/12/13,38,297,1009
2013/12/14,37,294,1000
2013/12/15,37,295,989
2013/12/16,38,292,990
2013/12/17,39,290,995
2013/12/18,40,295,980
2013/12/19,39,294,981
2013/12/20,39,293,974
2013/12/21,40,294,971
2013/12/22,40,292,972
2013/12/23,37,282,972
2013/12/24,36,280,970
2013/12/25,34,285,961
2013/12/26,34,290,961
2013/12/27,35,289,955
2013/12/28,36,288,952
2013/12/29,35,288,961
2013/12/30,35,291,960
2013/12/31,35,293,958
2014/01/01,35,293,957
2014/01/02,32,292,950
2014/01/03,33,295,950
2014/01/04,34,290,955
2014/01/05,33,294,969
2014/01/06,33,293,977
2014/01/07,34,295,987
2014/01/08,32,297,996
2014/01/09,34,292,992
2014/01/10,34,292,992
2014/01/11,34,293,990
2014/01/12,34,300,1000
2014/01/13,35,316,1035
2014/01/14,35,328,1062
2014/01/15,37,338,1068
2014/01/16,39,340,1074
2014/01/17,38,341,1081
2014/01/18,38,349,1088
2014/01/19,41,347,1101
2014/01/20,41,350,1107
2014/01/21,42,353,1124
2014/01/22,42,351,1135
2014/01/23,43,357,1143
2014/01/24,41,359,1157
2014/01/25,40,360,1162
2014/01/26,42,364,1167
2014/01/27,42,364,1178
2014/01/28,43,370,1171
2014/01/29,44,370,1182
2014/01/30,44,368,1185
2014/01/31,44,368,1195
2014/02/01,43,372,1206
2014/02/02,44,372,1219
2014/02/03,45,372,1219
2014/02/04,45,376,1223
2014/02/05,46,375,1229
2014/02/06,45,375,1231
2014/02/07,47,377,1217
2014/02/08,46,381,1222
2014/02/09,46,383,1216
2014/02/10,46,383,1227
2014/02/11,45,382,1218
2014/02/12,45,379,1212
2014/02/13,43,375,1195
2014/02/14,42,370,1197
2014/02/15,42,365,1188
2014/02/16,42,364,1185
2014/02/17,42,362,1186
2014/02/18,42,367,1174
2014/02/19,45,368,1177
2014/02/20,44,365,1183
2014/02/21,44,372,1181
2014/02/22,43,367,1159
2014/02/23,42,361,1150
2014/02/24,41,359,1147
2014/02/25,43,365,1158
2014/02/26,43,363,1153
2014/02/27,42,361,1146
2014/02/28,41,361,1143
2014/03/01,41,359,1144
2014/03/02,42,358,1147
2014/03/03,43,358,1134
2014/03/04,43,357,1133
2014/03/05,43,359,1140
2014/03/06,44,360,1131
2014/03/07,43,356,1121
2014/03/08,40,355,1118
2014/03/09,40,348,1114
2014/03/10,40,347,1102
2014/03/11,37,349,1116
2014/03/12,37,349,1100
2014/03/13,37,349,1108
2014/03/14,37,350,1101
2014/03/15,37,350,1105
2014/03/16,38,348,1097
2014/03/17,39,344,1097
2014/03/18,38,343,1112
2014/03/19,38,340,1103
2014/03/20,39,336,1102
2014/03/21,39,328,1097
2014/03/22,38,323,1082
2014/03/23,40,322,1080
2014/03/24,39,321,1095
2014/03/25,38,328,1110
2014/03/26,38,325,1090
2014/03/27,39,328,1097
2014/03/28,40,329,1099
2014/03/29,41,335,1112
2014/03/30,40,328,1109
2014/03/31,39,327,1105
2014/04/01,38,326,1093
2014/04/02,38,318,1080
2014/04/03,39,319,1066
2014/04/04,39,319,1060
2014/04/05,37,320,1062
2014/04/06,37,319,1060
2014/04/07,39,308,1058
2014/04/08,41,305,1053
2014/04/09,39,296,1043
2014/04/10,39,295,1039
2014/04/11,40,291,1034
2014/04/12,39,291,1027
2014/04/13,42,294,1021
2014/04/14,45,290,1003
2014/04/15,44,293,1006
2014/04/16,44,297,991
2014/04/17,45,292,978
2014/04/18,45,288,977
2014/04/19,45,289,967
2014/04/20,44,285,956
2014/04/21,45,287,951
2014/04/22,44,279,949
2014/04/23,44,283,951
2014/04/24,44,277,935
2014/04/25,45,279,932
2014/04/26,45,275,918
2014/04/27,45,268,904
2014/04/28,44,260,893
2014/04/29,42,265,895
