date,kvwiki (100+),kvwiki (5+),kvwiki (all)
2012/11/20,4,19,41
2012/11/21,4,19,41
2012/11/22,4,20,42
2012/11/23,4,22,42
2012/11/24,3,21,42
2012/11/25,3,21,42
2012/11/26,3,22,41
2012/11/27,2,22,43
2012/11/28,2,22,42
2012/11/29,2,22,42
2012/11/30,2,23,43
2012/12/01,2,23,45
2012/12/02,2,24,46
2012/12/03,2,25,43
2012/12/04,2,25,44
2012/12/05,2,25,45
2012/12/06,2,25,45
2012/12/07,2,26,46
2012/12/08,2,26,46
2012/12/09,2,26,47
2012/12/10,2,26,46
2012/12/11,2,24,46
2012/12/12,2,24,46
2012/12/13,2,23,47
2012/12/14,2,21,46
2012/12/15,2,22,44
2012/12/16,2,21,45
2012/12/17,2,22,45
2012/12/18,2,22,46
2012/12/19,2,21,47
2012/12/20,2,21,47
2012/12/21,2,21,46
2012/12/22,2,23,46
2012/12/23,2,23,46
2012/12/24,2,23,46
2012/12/25,3,23,46
2012/12/26,3,23,47
2012/12/27,3,23,47
2012/12/28,3,23,49
2012/12/29,3,24,51
2012/12/30,4,22,50
2012/12/31,4,23,50
2013/01/01,4,24,53
2013/01/02,4,25,54
2013/01/03,4,25,52
2013/01/04,4,25,51
2013/01/05,4,25,51
2013/01/06,4,25,50
2013/01/07,4,24,49
2013/01/08,4,24,48
2013/01/09,4,25,49
2013/01/10,4,25,49
2013/01/11,4,25,49
2013/01/12,4,24,48
2013/01/13,4,24,46
2013/01/14,4,22,47
2013/01/15,4,22,45
2013/01/16,4,21,46
2013/01/17,3,22,44
2013/01/18,3,22,43
2013/01/19,3,23,41
2013/01/20,3,23,41
2013/01/21,4,22,41
2013/01/22,4,21,41
2013/01/23,4,21,39
2013/01/24,4,21,40
2013/01/25,4,21,39
2013/01/26,5,22,40
2013/01/27,5,22,40
2013/01/28,5,22,38
2013/01/29,5,22,40
2013/01/30,4,23,39
2013/01/31,4,22,39
2013/02/01,4,21,40
2013/02/02,4,20,40
2013/02/03,4,20,39
2013/02/04,4,20,39
2013/02/05,4,20,38
2013/02/06,5,19,38
2013/02/07,5,19,38
2013/02/08,5,20,38
2013/02/09,5,20,36
2013/02/10,5,20,36
2013/02/11,5,20,36
2013/02/12,5,20,36
2013/02/13,5,20,36
2013/02/14,5,20,36
2013/02/15,5,19,37
2013/02/16,5,19,39
2013/02/17,5,19,39
2013/02/18,5,17,40
2013/02/19,5,18,40
2013/02/20,5,17,42
2013/02/21,5,17,42
2013/02/22,5,17,41
2013/02/23,5,17,40
2013/02/24,5,17,40
2013/02/25,4,17,38
2013/02/26,4,18,39
2013/02/27,4,18,39
2013/02/28,4,18,37
2013/03/01,4,18,36
2013/03/02,4,18,36
2013/03/03,4,19,34
2013/03/04,4,19,35
2013/03/05,4,19,35
2013/03/06,4,19,35
2013/03/07,4,19,35
2013/03/08,5,19,36
2013/03/09,5,19,36
2013/03/10,5,19,34
2013/03/11,5,19,34
2013/03/12,6,19,36
2013/03/13,6,19,37
2013/03/14,6,18,38
2013/03/15,6,17,38
2013/03/16,6,17,37
2013/03/17,6,16,36
2013/03/18,6,16,33
2013/03/19,6,16,34
2013/03/20,4,15,33
2013/03/21,4,15,32
2013/03/22,4,13,31
2013/03/23,3,13,31
2013/03/24,3,12,32
2013/03/25,3,12,31
2013/03/26,3,12,29
2013/03/27,3,10,27
2013/03/28,3,10,27
2013/03/29,3,10,27
2013/03/30,3,10,26
2013/03/31,3,10,26
2013/04/01,3,10,26
2013/04/02,2,10,25
2013/04/03,2,8,23
2013/04/04,2,7,20
2013/04/05,2,6,19
2013/04/06,2,5,19
2013/04/07,2,5,17
2013/04/08,2,5,18
2013/04/09,2,5,19
2013/04/10,2,5,19
2013/04/11,,4,18
2013/04/12,,4,18
2013/04/13,,4,17
2013/04/14,,4,16
2013/04/15,1,4,16
2013/04/16,1,4,16
2013/04/17,1,4,19
2013/04/18,1,4,19
2013/04/19,1,4,21
2013/04/20,1,4,22
2013/04/21,1,4,22
2013/04/22,1,4,22
2013/04/23,1,4,21
2013/04/24,1,4,21
2013/04/25,1,4,21
2013/04/26,1,4,21
2013/04/27,1,4,21
2013/04/28,1,4,21
2013/04/29,2,4,21
2013/04/30,2,4,21
2013/05/01,2,4,20
2013/05/02,2,4,19
2013/05/03,1,3,18
2013/05/04,1,3,18
2013/05/05,1,3,17
2013/05/06,1,3,16
2013/05/07,1,3,15
2013/05/08,2,3,15
2013/05/09,2,3,14
2013/05/10,2,3,14
2013/05/11,2,3,14
2013/05/12,2,3,13
2013/05/13,1,3,13
2013/05/14,1,3,13
2013/05/15,1,3,13
2013/05/16,,3,12
2013/05/17,,3,10
2013/05/18,,3,10
2013/05/19,,4,10
2013/05/20,,4,10
2013/05/21,,4,10
2013/05/22,,4,11
2013/05/23,,4,10
2013/05/24,,4,10
2013/05/25,,4,10
2013/05/26,,4,10
2013/05/27,,4,10
2013/05/28,,4,10
2013/05/29,,4,10
2013/05/30,,4,10
2013/05/31,,4,10
2013/06/01,,4,10
2013/06/02,,5,10
2013/06/03,,5,10
2013/06/04,,5,11
2013/06/05,,4,11
2013/06/06,,4,10
2013/06/07,,4,10
2013/06/08,,4,10
2013/06/09,,4,10
2013/06/10,,4,10
2013/06/11,,4,11
2013/06/12,,4,11
2013/06/13,,4,11
2013/06/14,,4,13
2013/06/15,,4,14
2013/06/16,,4,13
2013/06/17,,4,13
2013/06/18,,3,13
2013/06/19,,3,12
2013/06/20,,3,12
2013/06/21,,3,11
2013/06/22,,3,12
2013/06/23,,3,11
2013/06/24,,3,12
2013/06/25,,3,12
2013/06/26,,2,12
2013/06/27,,2,13
2013/06/28,,2,13
2013/06/29,,2,13
2013/06/30,,2,13
2013/07/01,,1,13
2013/07/02,,2,14
2013/07/03,,2,14
2013/07/04,,2,13
2013/07/05,,2,12
2013/07/06,,1,13
2013/07/07,,2,13
2013/07/08,,2,14
2013/07/09,,2,14
2013/07/10,,2,14
2013/07/11,,2,14
2013/07/12,,2,14
2013/07/13,,3,15
2013/07/14,,3,14
2013/07/15,,4,14
2013/07/16,,4,14
2013/07/17,,4,14
2013/07/18,,4,16
2013/07/19,,4,16
2013/07/20,,4,17
2013/07/21,,4,17
2013/07/22,,4,16
2013/07/23,,4,16
2013/07/24,,4,15
2013/07/25,,4,16
2013/07/26,,4,16
2013/07/27,,4,15
2013/07/28,,4,15
2013/07/29,,4,15
2013/07/30,,4,15
2013/07/31,,4,15
2013/08/01,,4,15
2013/08/02,,4,14
2013/08/03,,4,14
2013/08/04,,4,14
2013/08/05,,4,13
2013/08/06,,4,13
2013/08/07,,5,12
2013/08/08,,5,12
2013/08/09,,5,13
2013/08/10,,5,12
2013/08/11,,5,12
2013/08/12,,4,11
2013/08/13,,4,11
2013/08/14,,4,11
2013/08/15,,4,11
2013/08/16,,4,11
2013/08/17,,5,10
2013/08/18,,5,10
2013/08/19,,5,9
2013/08/20,,5,9
2013/08/21,,5,9
2013/08/22,,5,9
2013/08/23,,5,9
2013/08/24,,5,9
2013/08/25,,5,9
2013/08/26,,5,9
2013/08/27,,5,9
2013/08/28,,5,8
2013/08/29,,6,9
2013/08/30,,5,10
2013/08/31,,5,10
2013/09/01,,5,10
2013/09/02,,5,11
2013/09/03,,5,11
2013/09/04,,5,11
2013/09/05,,5,11
2013/09/06,,5,11
2013/09/07,,5,11
2013/09/08,,4,10
2013/09/09,,4,9
2013/09/10,,4,9
2013/09/11,,5,9
2013/09/12,,5,9
2013/09/13,,4,8
2013/09/14,,4,7
2013/09/15,,4,8
2013/09/16,,3,7
2013/09/17,,3,7
2013/09/18,,3,7
2013/09/19,,3,9
2013/09/20,,4,9
2013/09/21,,4,9
2013/09/22,,4,9
2013/09/23,,4,9
2013/09/24,,4,9
2013/09/25,,4,9
2013/09/26,,4,8
2013/09/27,,4,9
2013/09/28,,4,10
2013/09/29,,3,9
2013/09/30,,3,10
2013/10/01,,3,10
2013/10/02,,3,11
2013/10/03,,3,12
2013/10/04,,3,13
2013/10/05,,3,13
2013/10/06,,3,13
2013/10/07,,3,13
2013/10/08,,3,14
2013/10/09,,3,15
2013/10/10,,3,16
2013/10/11,1,3,16
2013/10/12,1,3,16
2013/10/13,1,3,16
2013/10/14,1,3,16
2013/10/15,1,3,15
2013/10/16,1,3,16
2013/10/17,1,3,16
2013/10/18,1,3,16
2013/10/19,1,3,15
2013/10/20,1,3,15
2013/10/21,1,4,16
2013/10/22,1,4,16
2013/10/23,1,4,16
2013/10/24,1,4,16
2013/10/25,1,4,17
2013/10/26,1,4,17
2013/10/27,1,5,17
2013/10/28,1,5,16
2013/10/29,1,5,15
2013/10/30,1,5,14
2013/10/31,1,5,14
2013/11/01,1,5,13
2013/11/02,1,5,13
2013/11/03,1,5,12
2013/11/04,1,5,12
2013/11/05,1,5,12
2013/11/06,1,5,12
2013/11/07,1,5,11
2013/11/08,1,5,10
2013/11/09,1,5,9
2013/11/10,1,5,9
2013/11/11,1,5,9
2013/11/12,1,5,9
2013/11/13,1,6,10
2013/11/14,1,8,13
2013/11/15,1,9,12
2013/11/16,1,9,12
2013/11/17,1,9,12
2013/11/18,1,9,12
2013/11/19,1,9,12
2013/11/20,1,8,13
2013/11/21,1,8,14
2013/11/22,1,8,14
2013/11/23,1,8,14
2013/11/24,1,8,13
2013/11/25,1,8,13
2013/11/26,1,7,13
2013/11/27,1,7,13
2013/11/28,1,7,13
2013/11/29,1,7,13
2013/11/30,1,7,13
2013/12/01,1,7,12
2013/12/02,1,7,12
2013/12/03,1,7,12
2013/12/04,1,7,12
2013/12/05,1,7,13
2013/12/06,1,7,14
2013/12/07,1,7,15
2013/12/08,1,7,15
2013/12/09,1,7,17
2013/12/10,1,7,18
2013/12/11,1,7,18
2013/12/12,1,7,18
2013/12/13,1,6,17
2013/12/14,1,5,14
2013/12/15,1,5,14
2013/12/16,1,6,15
2013/12/17,1,6,16
2013/12/18,1,4,16
2013/12/19,1,4,17
2013/12/20,1,4,18
2013/12/21,1,4,18
2013/12/22,1,4,18
2013/12/23,1,4,18
2013/12/24,1,4,18
2013/12/25,1,5,18
2013/12/26,1,5,18
2013/12/27,1,5,18
2013/12/28,1,5,19
2013/12/29,1,5,20
2013/12/30,1,4,20
2013/12/31,1,4,20
2014/01/01,1,4,20
2014/01/02,1,4,19
2014/01/03,1,4,19
2014/01/04,1,4,20
2014/01/05,1,4,19
2014/01/06,1,4,18
2014/01/07,1,4,19
2014/01/08,1,4,17
2014/01/09,1,4,16
2014/01/10,1,3,14
2014/01/11,1,3,15
2014/01/12,1,3,15
2014/01/13,1,3,16
2014/01/14,1,3,16
2014/01/15,1,2,16
2014/01/16,1,2,16
2014/01/17,1,2,16
2014/01/18,1,2,15
2014/01/19,1,4,15
2014/01/20,1,4,14
2014/01/21,1,4,14
2014/01/22,1,4,15
2014/01/23,1,4,17
2014/01/24,1,4,16
2014/01/25,1,4,17
2014/01/26,1,4,18
2014/01/27,1,4,18
2014/01/28,1,4,17
2014/01/29,1,4,17
2014/01/30,1,4,17
2014/01/31,1,4,17
2014/02/01,1,4,17
2014/02/02,2,4,17
2014/02/03,2,4,16
2014/02/04,2,4,17
2014/02/05,2,4,17
2014/02/06,2,4,16
2014/02/07,2,4,16
2014/02/08,2,4,16
2014/02/09,2,4,16
2014/02/10,2,4,16
2014/02/11,2,4,16
2014/02/12,2,4,15
2014/02/13,2,4,15
2014/02/14,2,4,15
2014/02/15,2,4,14
2014/02/16,2,4,15
2014/02/17,2,4,17
2014/02/18,2,3,16
2014/02/19,1,3,17
2014/02/20,1,3,17
2014/02/21,1,3,16
2014/02/22,1,3,15
2014/02/23,1,3,15
2014/02/24,1,3,15
2014/02/25,1,3,15
2014/02/26,,3,15
2014/02/27,,3,13
2014/02/28,,3,14
2014/03/01,,3,15
2014/03/02,,3,15
2014/03/03,,3,15
2014/03/04,,3,15
2014/03/05,,2,15
2014/03/06,,2,15
2014/03/07,,2,17
2014/03/08,,2,17
2014/03/09,,2,17
2014/03/10,,2,17
2014/03/11,,2,17
2014/03/12,,3,19
2014/03/13,1,3,20
2014/03/14,1,3,20
2014/03/15,1,3,20
2014/03/16,1,3,20
2014/03/17,1,3,20
2014/03/18,1,3,19
2014/03/19,1,3,17
2014/03/20,1,3,17
2014/03/21,1,3,15
2014/03/22,1,3,16
2014/03/23,1,3,15
2014/03/24,1,3,15
2014/03/25,2,4,16
2014/03/26,2,4,14
2014/03/27,2,4,14
2014/03/28,2,4,14
2014/03/29,2,4,14
2014/03/30,2,4,13
2014/03/31,2,4,11
2014/04/01,2,4,12
2014/04/02,2,4,13
2014/04/03,2,4,13
2014/04/04,2,5,14
2014/04/05,2,5,14
2014/04/06,2,5,13
2014/04/07,3,5,13
2014/04/08,3,5,14
2014/04/09,3,5,15
2014/04/10,3,5,16
2014/04/11,3,4,13
2014/04/12,3,4,13
2014/04/13,2,5,13
2014/04/14,2,5,13
2014/04/15,2,5,13
2014/04/16,2,5,13
2014/04/17,2,6,15
2014/04/18,2,6,15
2014/04/19,2,6,16
2014/04/20,2,6,17
2014/04/21,2,6,19
2014/04/22,2,6,19
2014/04/23,2,7,20
2014/04/24,1,7,20
2014/04/25,1,7,20
2014/04/26,1,6,19
2014/04/27,1,6,20
2014/04/28,1,6,20
2014/04/29,1,6,21
2014/04/30,1,6,21
2014/05/01,1,6,20
2014/05/02,1,6,19
2014/05/03,1,6,19
2014/05/04,1,6,19
2014/05/05,1,6,18
2014/05/06,1,5,17
2014/05/07,1,5,17
2014/05/08,1,5,16
2014/05/09,1,5,15
2014/05/10,1,5,14
2014/05/11,1,5,14
2014/05/12,1,5,13
2014/05/13,1,5,13
2014/05/14,1,5,13
2014/05/15,1,5,14
2014/05/16,1,5,14
2014/05/17,1,4,13
2014/05/18,1,4,13
2014/05/19,1,4,12
2014/05/20,1,4,10
2014/05/21,1,4,9
2014/05/22,1,5,12
2014/05/23,1,7,15
2014/05/24,1,7,16
2014/05/25,1,7,16
2014/05/26,1,8,17
2014/05/27,1,8,16
2014/05/28,1,8,16
2014/05/29,1,8,15
2014/05/30,1,8,16
2014/05/31,1,8,16
2014/06/01,1,8,17
2014/06/02,,8,18
2014/06/03,1,9,19
2014/06/04,2,9,19
2014/06/05,1,9,19
2014/06/06,1,9,19
2014/06/07,1,9,19
2014/06/08,1,9,19
2014/06/09,1,9,19
2014/06/10,1,9,19
2014/06/11,1,9,20
2014/06/12,1,9,20
2014/06/13,1,9,20
2014/06/14,1,9,19
2014/06/15,1,9,19
2014/06/16,1,11,20
2014/06/17,1,11,21
2014/06/18,1,11,21
2014/06/19,1,11,21
2014/06/20,1,11,20
2014/06/21,,11,19
2014/06/22,,8,17
2014/06/23,,8,16
2014/06/24,,8,16
2014/06/25,,7,15
2014/06/26,,8,16
2014/06/27,,8,16
2014/06/28,,8,16
2014/06/29,,8,16
2014/06/30,,9,17
2014/07/01,,9,16
2014/07/02,,9,16
2014/07/03,,6,11
2014/07/04,,5,11
2014/07/05,,5,10
2014/07/06,,5,10
2014/07/07,,5,10
2014/07/08,,6,10
2014/07/09,,5,10
2014/07/10,,4,11
2014/07/11,,4,10
2014/07/12,,4,10
2014/07/13,,4,10
2014/07/14,,4,11
2014/07/15,,3,12
2014/07/16,,2,11
2014/07/17,,2,10
2014/07/18,,2,11
2014/07/19,,2,11
2014/07/20,,1,11
2014/07/21,,1,10
2014/07/22,,1,11
2014/07/23,,1,11
2014/07/24,,1,11
2014/07/25,,1,11
2014/07/26,,1,9
2014/07/27,,1,9
2014/07/28,,2,9
2014/07/29,,3,10
2014/07/30,,1,9
2014/07/31,,1,9
2014/08/01,,1,9
2014/08/02,,1,9
2014/08/03,,1,9
2014/08/04,,1,9
2014/08/05,,1,9
2014/08/06,,1,9
2014/08/07,,1,8
2014/08/08,,1,8
2014/08/09,,1,7
2014/08/10,,1,7
2014/08/11,,1,7
2014/08/12,,1,7
2014/08/13,,1,6
2014/08/14,,1,6
2014/08/15,,1,6
2014/08/16,,1,7
2014/08/17,,2,6
2014/08/18,,2,7
2014/08/19,,2,8
2014/08/20,,2,8
2014/08/21,,2,9
2014/08/22,,2,9
2014/08/23,,2,9
2014/08/24,,2,9
2014/08/25,,2,9
2014/08/26,,2,11
2014/08/27,,2,11
2014/08/28,,2,11
2014/08/29,,2,11
2014/08/30,,2,11
2014/08/31,,3,11
2014/09/01,,3,11
2014/09/02,,3,11
2014/09/03,,3,11
2014/09/04,,3,12
2014/09/05,,4,12
2014/09/06,,4,11
2014/09/07,,4,11
2014/09/08,,4,11
2014/09/09,,4,11
2014/09/10,,4,11
2014/09/11,,4,11
2014/09/12,,4,11
2014/09/13,,4,11
2014/09/14,,4,11
2014/09/15,,4,11
2014/09/16,,4,12
2014/09/17,,4,11
2014/09/18,,3,10
2014/09/19,,3,10
2014/09/20,,3,9
2014/09/21,,3,10
2014/09/22,,3,10
2014/09/23,,3,9
2014/09/24,,3,9
2014/09/25,1,3,8
2014/09/26,1,3,9
2014/09/27,1,3,8
2014/09/28,1,2,8
2014/09/29,1,2,7
2014/09/30,1,2,7
2014/10/01,1,2,7
2014/10/02,1,2,7
2014/10/03,1,2,7
2014/10/04,1,2,6
2014/10/05,1,2,6
2014/10/06,1,2,6
2014/10/07,1,2,5
2014/10/08,1,3,6
2014/10/09,1,3,6
2014/10/10,1,3,8
2014/10/11,1,3,8
2014/10/12,1,3,9
2014/10/13,1,3,9
2014/10/14,,3,9
2014/10/15,,2,9
2014/10/16,,2,7
2014/10/17,,2,7
2014/10/18,,2,7
2014/10/19,,2,8
2014/10/20,,2,8
2014/10/21,,3,9
2014/10/22,,3,9
2014/10/23,,3,9
2014/10/24,,3,10
2014/10/25,,3,10
2014/10/26,,3,9
2014/10/27,,3,9
2014/10/28,,3,9
2014/10/29,,3,9
2014/10/30,,3,9
2014/10/31,,3,9
2014/11/01,,3,9
2014/11/02,,3,9
2014/11/03,,3,9
2014/11/04,,3,9
2014/11/05,,3,9
2014/11/06,,3,9
2014/11/07,,3,9
2014/11/08,,2,10
2014/11/09,,2,7
2014/11/10,,2,8
2014/11/11,,2,6
2014/11/12,,2,6
2014/11/13,,2,8
2014/11/14,,2,8
2014/11/15,,2,8
2014/11/16,,2,8
2014/11/17,,2,9
2014/11/18,,2,9
2014/11/19,,2,10
2014/11/20,,2,9
2014/11/21,,2,9
2014/11/22,,2,10
2014/11/23,,2,9
2014/11/24,,2,9
2014/11/25,,2,9
2014/11/26,,2,9
2014/11/27,,2,9
2014/11/28,,2,9
2014/11/29,,2,9
2014/11/30,,2,9
2014/12/01,,2,9
2014/12/02,,2,10
2014/12/03,,2,10
2014/12/04,,2,10
2014/12/05,,2,12
2014/12/06,,2,12
2014/12/07,,2,12
2014/12/08,,2,12
2014/12/09,,2,12
2014/12/10,,2,11
2014/12/11,,2,11
2014/12/12,,2,11
2014/12/13,,2,10
2014/12/14,,2,10
2014/12/15,,2,10
2014/12/16,,2,11
2014/12/17,,2,10
2014/12/18,,2,10
2014/12/19,,2,9
2014/12/20,,2,9
2014/12/21,,2,10
2014/12/22,,2,10
2014/12/23,,2,10
2014/12/24,,2,10
2014/12/25,,2,10
2014/12/26,,3,10
2014/12/27,,3,10
2014/12/28,,3,10
2014/12/29,,3,10
2014/12/30,,3,10
2014/12/31,,3,10
2015/01/01,,3,9
2015/01/02,,3,9
2015/01/03,,3,10
2015/01/04,,3,9
2015/01/05,,3,9
2015/01/06,,3,9
2015/01/07,1,3,8
2015/01/08,2,3,8
2015/01/09,2,4,8
2015/01/10,2,4,8
2015/01/11,2,4,8
2015/01/12,2,3,8
2015/01/13,2,3,8
2015/01/14,1,3,9
2015/01/15,1,3,8
2015/01/16,2,3,9
2015/01/17,1,3,9
2015/01/18,1,3,9
2015/01/19,1,3,11
2015/01/20,1,3,10
2015/01/21,1,3,9
2015/01/22,1,3,9
2015/01/23,1,3,10
2015/01/24,1,3,10
2015/01/25,1,2,10
2015/01/26,1,2,11
2015/01/27,1,2,11
2015/01/28,1,2,12
2015/01/29,1,3,12
2015/01/30,1,3,12
2015/01/31,1,3,12
2015/02/01,1,3,12
2015/02/02,1,3,11
2015/02/03,1,3,11
2015/02/04,1,3,11
2015/02/05,1,3,11
2015/02/06,1,3,11
2015/02/07,1,3,13
2015/02/08,1,3,13
2015/02/09,1,3,15
2015/02/10,1,3,15
2015/02/11,1,3,15
2015/02/12,1,3,15
2015/02/13,1,3,14
2015/02/14,1,3,14
2015/02/15,1,3,14
2015/02/16,1,3,15
2015/02/17,1,3,15
2015/02/18,,3,12
2015/02/19,,3,12
2015/02/20,,3,12
2015/02/21,,3,12
2015/02/22,,3,10
2015/02/23,,3,10
2015/02/24,,3,10
2015/02/25,,3,9
2015/02/26,,3,9
2015/02/27,,3,9
2015/02/28,,3,9
2015/03/01,,3,9
2015/03/02,,3,11
2015/03/03,,3,11
2015/03/04,,3,11
2015/03/05,,2,10
2015/03/06,,2,11
2015/03/07,,2,11
2015/03/08,,2,12
2015/03/09,,2,10
2015/03/10,,2,11
2015/03/11,,2,9
2015/03/12,,2,9
2015/03/13,,2,9
2015/03/14,,2,9
2015/03/15,,2,9
2015/03/16,,2,9
2015/03/17,,2,9
2015/03/18,,2,8
2015/03/19,,2,9
2015/03/20,,2,9
2015/03/21,,2,9
2015/03/22,,2,9
2015/03/23,,2,10
2015/03/24,,2,10
2015/03/25,,2,10
2015/03/26,,2,9
2015/03/27,,2,9
2015/03/28,,2,9
2015/03/29,,2,9
2015/03/30,,2,9
2015/03/31,,2,9
2015/04/01,,2,7
2015/04/02,,2,8
2015/04/03,,2,8
2015/04/04,,2,8
2015/04/05,,2,8
2015/04/06,,2,8
2015/04/07,,2,8
2015/04/08,,2,8
2015/04/09,,2,8
2015/04/10,,2,8
2015/04/11,,2,8
2015/04/12,,1,7
2015/04/13,,1,9
2015/04/14,,1,9
2015/04/15,,1,9
2015/04/16,,1,9
2015/04/17,,2,9
2015/04/18,,2,8
2015/04/19,,2,8
2015/04/20,,2,9
2015/04/21,,2,9
2015/04/22,,2,8
2015/04/23,,2,8
2015/04/24,,2,8
2015/04/25,1,3,9
2015/04/26,1,3,9
2015/04/27,1,3,9
2015/04/28,1,3,9
2015/04/29,1,3,9
2015/04/30,1,3,9
2015/05/01,1,3,9
2015/05/02,1,4,9
2015/05/03,1,4,9
2015/05/04,1,4,9
2015/05/05,1,4,9
2015/05/06,1,4,8
2015/05/07,1,3,8
2015/05/08,1,3,9
2015/05/09,1,3,9
2015/05/10,1,3,9
2015/05/11,1,3,9
2015/05/12,1,3,8
2015/05/13,1,3,9
2015/05/14,1,3,9
2015/05/15,1,3,9
2015/05/16,1,3,9
2015/05/17,1,2,8
2015/05/18,1,2,8
2015/05/19,1,2,8
2015/05/20,1,2,7
2015/05/21,1,2,7
2015/05/22,1,2,8
2015/05/23,1,2,8
2015/05/24,1,2,8
2015/05/25,,1,7
2015/05/26,,1,7
2015/05/27,,1,7
2015/05/28,,1,7
2015/05/29,,1,7
2015/05/30,,1,7
2015/05/31,,1,7
2015/06/01,,1,7
2015/06/02,,1,7
2015/06/03,,1,7
2015/06/04,,1,6
2015/06/05,,1,6
2015/06/06,,1,6
2015/06/07,,1,6
2015/06/08,,1,6
2015/06/09,,1,6
2015/06/10,,1,9
2015/06/11,,1,10
2015/06/12,,1,8
2015/06/13,,1,8
2015/06/14,,1,9
2015/06/15,,1,9
2015/06/16,,1,9
2015/06/17,,2,10
2015/06/18,,2,10
2015/06/19,,2,10
2015/06/20,,2,12
2015/06/21,,2,13
2015/06/22,,2,13
2015/06/23,,3,14
2015/06/24,,3,14
2015/06/25,,3,14
2015/06/26,,3,15
2015/06/27,,4,15
2015/06/28,,5,15
2015/06/29,,5,15
2015/06/30,,5,15
2015/07/01,,5,16
2015/07/02,,7,17
2015/07/03,,7,18
2015/07/04,,7,18
2015/07/05,,7,18
2015/07/06,,7,18
2015/07/07,,8,17
2015/07/08,,8,17
2015/07/09,,8,17
2015/07/10,,8,14
2015/07/11,,8,14
2015/07/12,,8,14
2015/07/13,,8,15
2015/07/14,,8,14
2015/07/15,,8,15
2015/07/16,,8,15
2015/07/17,,7,16
2015/07/18,,7,16
2015/07/19,,7,16
2015/07/20,,6,17
2015/07/21,,6,15
2015/07/22,,6,15
2015/07/23,,5,14
2015/07/24,,5,14
2015/07/25,,5,15
2015/07/26,,4,15
2015/07/27,,4,15
2015/07/28,,4,15
2015/07/29,,4,15
2015/07/30,,5,15
2015/07/31,,5,15
2015/08/01,,5,14
2015/08/02,,5,13
2015/08/03,,5,14
2015/08/04,,4,13
2015/08/05,,5,13
2015/08/06,,4,12
2015/08/07,,4,12
2015/08/08,,5,13
2015/08/09,,5,13
2015/08/10,,5,13
2015/08/11,,5,13
2015/08/12,,5,12
2015/08/13,,5,12
2015/08/14,,5,11
2015/08/15,,5,11
2015/08/16,,5,10
2015/08/17,1,5,10
2015/08/18,1,5,11
2015/08/19,1,5,10
2015/08/20,1,5,10
2015/08/21,1,5,10
2015/08/22,1,5,10
2015/08/23,1,5,10
2015/08/24,1,5,9
2015/08/25,1,5,9
2015/08/26,1,5,9
2015/08/27,1,4,8
2015/08/28,1,4,8
2015/08/29,1,4,8
2015/08/30,1,4,8
2015/08/31,1,4,8
2015/09/01,1,4,8
2015/09/02,1,4,8
