date,jawiki (100+),jawiki (5+),jawiki (all)
2013/05/31,348,4090,11732
2013/06/01,348,4066,11716
2013/06/02,346,4101,11743
2013/06/03,338,4102,11749
2013/06/04,339,4081,11751
2013/06/05,327,4064,11719
2013/06/06,324,4039,11670
2013/06/07,331,4051,11700
2013/06/08,330,4043,11693
2013/06/09,336,4046,11705
2013/06/10,333,4069,11726
2013/06/11,331,4052,11673
2013/06/12,327,4029,11645
2013/06/13,329,4017,11645
2013/06/14,325,3999,11650
2013/06/15,319,3984,11636
2013/06/16,325,4010,11674
2013/06/17,319,4013,11695
2013/06/18,319,3990,11693
2013/06/19,317,3968,11638
2013/06/20,322,3956,11632
2013/06/21,324,3996,11644
2013/06/22,321,3982,11644
2013/06/23,325,3995,11691
2013/06/24,326,4002,11739
2013/06/25,330,3993,11717
2013/06/26,325,3968,11723
2013/06/27,320,3999,11770
2013/06/28,319,3983,11768
2013/06/29,319,3983,11734
2013/06/30,326,3973,11719
2013/07/01,335,3989,11736
2013/07/02,337,3971,11720
2013/07/03,330,3941,11693
2013/07/04,321,3945,11691
2013/07/05,329,3943,11731
2013/07/06,326,3936,11743
2013/07/07,328,3945,11798
2013/07/08,325,3946,11832
2013/07/09,319,3932,11818
2013/07/10,317,3908,11806
2013/07/11,314,3913,11813
2013/07/12,309,3930,11791
2013/07/13,310,3934,11709
2013/07/14,310,3934,11664
2013/07/15,310,3933,11693
2013/07/16,313,3905,11673
2013/07/17,318,3887,11670
2013/07/18,317,3913,11667
2013/07/19,311,3906,11667
2013/07/20,306,3903,11645
2013/07/21,308,3884,11626
2013/07/22,306,3880,11595
2013/07/23,304,3869,11540
2013/07/24,306,3855,11526
2013/07/25,304,3832,11495
2013/07/26,299,3830,11488
2013/07/27,301,3808,11451
2013/07/28,307,3833,11428
2013/07/29,308,3833,11457
2013/07/30,307,3821,11480
2013/07/31,304,3834,11504
2013/08/01,306,3826,11529
2013/08/02,309,3828,11513
2013/08/03,305,3826,11465
2013/08/04,303,3836,11429
2013/08/05,304,3824,11367
2013/08/06,297,3820,11364
2013/08/07,298,3830,11352
2013/08/08,296,3854,11359
2013/08/09,298,3859,11342
2013/08/10,306,3864,11339
2013/08/11,310,3862,11309
2013/08/12,306,3870,11342
2013/08/13,311,3886,11362
2013/08/14,309,3884,11340
2013/08/15,306,3889,11357
2013/08/16,309,3925,11385
2013/08/17,303,3905,11397
2013/08/18,308,3919,11422
2013/08/19,312,3926,11436
2013/08/20,309,3924,11471
2013/08/21,307,3926,11506
2013/08/22,309,3931,11503
2013/08/23,313,3931,11482
2013/08/24,313,3927,11522
2013/08/25,314,3922,11534
2013/08/26,312,3924,11537
2013/08/27,311,3922,11566
2013/08/28,316,3918,11535
2013/08/29,318,3910,11506
2013/08/30,318,3911,11469
2013/08/31,321,3908,11446
2013/09/01,327,3924,11482
2013/09/02,326,3927,11538
2013/09/03,326,3938,11536
2013/09/04,330,3938,11551
2013/09/05,329,3923,11528
2013/09/06,328,3909,11489
2013/09/07,330,3882,11418
2013/09/08,330,3901,11399
2013/09/09,327,3909,11356
2013/09/10,319,3890,11321
2013/09/11,315,3882,11320
2013/09/12,318,3876,11299
2013/09/13,321,3862,11280
2013/09/14,319,3857,11267
2013/09/15,314,3847,11207
2013/09/16,317,3853,11184
2013/09/17,306,3873,11207
2013/09/18,312,3860,11166
2013/09/19,310,3837,11129
2013/09/20,313,3813,11066
2013/09/21,313,3807,11038
2013/09/22,318,3795,10983
2013/09/23,319,3796,10931
2013/09/24,321,3788,10964
2013/09/25,322,3775,10918
2013/09/26,322,3772,10884
2013/09/27,319,3755,10869
2013/09/28,318,3726,10836
2013/09/29,317,3748,10854
2013/09/30,316,3759,10828
2013/10/01,313,3767,10809
2013/10/02,313,3740,10752
2013/10/03,303,3709,10750
2013/10/04,304,3719,10740
2013/10/05,303,3739,10713
2013/10/06,309,3747,10734
2013/10/07,309,3788,10790
2013/10/08,305,3773,10791
2013/10/09,309,3769,10807
2013/10/10,315,3793,10842
2013/10/11,316,3803,10814
2013/10/12,313,3812,10801
2013/10/13,314,3814,10797
2013/10/14,317,3809,10808
2013/10/15,319,3828,10845
2013/10/16,323,3802,10827
2013/10/17,320,3767,10849
2013/10/18,318,3749,10811
2013/10/19,316,3747,10788
2013/10/20,314,3775,10831
2013/10/21,316,3789,10871
2013/10/22,312,3799,10869
2013/10/23,310,3790,10893
2013/10/24,315,3798,10862
2013/10/25,314,3793,10882
2013/10/26,318,3798,10911
2013/10/27,325,3801,10930
2013/10/28,321,3806,10955
2013/10/29,324,3797,10925
2013/10/30,323,3773,10929
2013/10/31,318,3775,10894
2013/11/01,318,3790,10877
2013/11/02,322,3765,10819
2013/11/03,319,3781,10830
2013/11/04,322,3790,10864
2013/11/05,329,3794,10866
2013/11/06,329,3757,10835
2013/11/07,330,3740,10817
2013/11/08,330,3727,10794
2013/11/09,323,3732,10807
2013/11/10,317,3754,10828
2013/11/11,317,3758,10835
2013/11/12,317,3764,10824
2013/11/13,315,3729,10761
2013/11/14,318,3700,10725
2013/11/15,314,3702,10698
2013/11/16,315,3695,10640
2013/11/17,312,3702,10658
2013/11/18,318,3716,10675
2013/11/19,319,3696,10649
2013/11/20,322,3653,10645
2013/11/21,326,3663,10656
2013/11/22,321,3643,10638
2013/11/23,328,3658,10650
2013/11/24,328,3680,10662
2013/11/25,332,3672,10680
2013/11/26,329,3673,10696
2013/11/27,325,3653,10695
2013/11/28,324,3646,10713
2013/11/29,326,3661,10710
2013/11/30,328,3678,10730
2013/12/01,336,3701,10741
2013/12/02,340,3708,10786
2013/12/03,338,3706,10789
2013/12/04,331,3696,10760
2013/12/05,327,3663,10777
2013/12/06,334,3669,10793
2013/12/07,329,3695,10766
2013/12/08,331,3699,10743
2013/12/09,333,3715,10713
2013/12/10,327,3711,10685
2013/12/11,327,3725,10658
2013/12/12,321,3728,10659
2013/12/13,325,3745,10672
2013/12/14,324,3743,10648
2013/12/15,325,3735,10671
2013/12/16,323,3745,10728
2013/12/17,319,3731,10716
2013/12/18,312,3708,10689
2013/12/19,309,3714,10715
2013/12/20,313,3714,10712
2013/12/21,313,3721,10662
2013/12/22,313,3758,10670
2013/12/23,314,3759,10642
2013/12/24,315,3761,10651
2013/12/25,310,3742,10622
2013/12/26,310,3718,10584
2013/12/27,309,3701,10532
2013/12/28,308,3697,10512
2013/12/29,315,3710,10513
2013/12/30,326,3707,10530
2013/12/31,315,3702,10525
2014/01/01,313,3686,10451
2014/01/02,309,3697,10399
2014/01/03,313,3697,10376
2014/01/04,321,3706,10384
2014/01/05,325,3730,10446
2014/01/06,331,3756,10489
2014/01/07,328,3734,10518
2014/01/08,329,3724,10531
2014/01/09,329,3734,10591
2014/01/10,328,3741,10588
2014/01/11,331,3746,10585
2014/01/12,335,3768,10596
2014/01/13,333,3833,10686
2014/01/14,336,3852,10757
2014/01/15,335,3864,10766
2014/01/16,333,3889,10824
2014/01/17,336,3889,10846
2014/01/18,344,3875,10836
2014/01/19,351,3921,10860
2014/01/20,355,3943,10941
2014/01/21,353,3936,11007
2014/01/22,349,3946,11035
2014/01/23,355,3940,11047
2014/01/24,353,3955,11071
2014/01/25,352,3981,11141
2014/01/26,357,4037,11213
2014/01/27,359,4068,11256
2014/01/28,365,4092,11344
2014/01/29,364,4126,11407
2014/01/30,363,4152,11402
2014/01/31,365,4163,11472
2014/02/01,368,4193,11535
2014/02/02,374,4203,11611
2014/02/03,373,4232,11651
2014/02/04,371,4227,11598
2014/02/05,363,4244,11567
2014/02/06,361,4247,11572
2014/02/07,355,4252,11560
2014/02/08,360,4263,11533
2014/02/09,362,4286,11550
2014/02/10,365,4304,11584
2014/02/11,364,4288,11586
2014/02/12,361,4270,11584
2014/02/13,356,4268,11563
2014/02/14,361,4267,11565
2014/02/15,361,4264,11539
2014/02/16,355,4293,11610
2014/02/17,361,4317,11627
2014/02/18,361,4298,11589
2014/02/19,361,4282,11543
2014/02/20,364,4278,11585
2014/02/21,370,4282,11569
2014/02/22,362,4306,11556
2014/02/23,366,4311,11581
2014/02/24,371,4319,11575
2014/02/25,365,4311,11536
2014/02/26,361,4303,11506
2014/02/27,360,4292,11472
2014/02/28,361,4265,11447
2014/03/01,359,4263,11448
2014/03/02,362,4262,11466
2014/03/03,365,4285,11524
2014/03/04,366,4258,11495
2014/03/05,364,4219,11434
2014/03/06,365,4232,11443
2014/03/07,365,4237,11445
2014/03/08,366,4258,11448
2014/03/09,367,4245,11454
2014/03/10,378,4244,11462
2014/03/11,376,4252,11435
2014/03/12,366,4217,11399
2014/03/13,370,4232,11372
2014/03/14,369,4211,11307
2014/03/15,373,4201,11253
2014/03/16,369,4202,11246
2014/03/17,379,4213,11262
2014/03/18,382,4191,11236
2014/03/19,379,4159,11250
2014/03/20,377,4185,11247
2014/03/21,388,4158,11247
2014/03/22,392,4157,11225
2014/03/23,390,4147,11229
2014/03/24,395,4156,11187
2014/03/25,386,4140,11186
2014/03/26,381,4142,11189
2014/03/27,380,4174,11206
2014/03/28,379,4167,11211
2014/03/29,384,4157,11232
2014/03/30,387,4164,11240
2014/03/31,392,4190,11293
2014/04/01,390,4186,11261
2014/04/02,392,4167,11224
2014/04/03,391,4186,11252
2014/04/04,392,4186,11313
2014/04/05,391,4185,11337
2014/04/06,397,4220,11391
2014/04/07,406,4230,11415
2014/04/08,403,4237,11418
2014/04/09,402,4248,11450
2014/04/10,395,4259,11492
2014/04/11,390,4241,11514
2014/04/12,384,4241,11511
2014/04/13,392,4230,11538
2014/04/14,397,4246,11604
2014/04/15,393,4222,11594
2014/04/16,386,4211,11589
2014/04/17,388,4206,11571
2014/04/18,386,4220,11580
2014/04/19,380,4232,11582
2014/04/20,381,4265,11574
2014/04/21,372,4278,11597
2014/04/22,372,4297,11593
2014/04/23,369,4290,11623
2014/04/24,373,4281,11654
2014/04/25,373,4266,11624
2014/04/26,369,4256,11577
2014/04/27,375,4266,11577
2014/04/28,381,4267,11567
2014/04/29,376,4238,11604
2014/04/30,364,4250,11624
2014/05/01,362,4249,11594
2014/05/02,364,4234,11597
2014/05/03,360,4223,11572
2014/05/04,369,4199,11553
2014/05/05,366,4196,11562
2014/05/06,358,4207,11556
2014/05/07,354,4188,11571
2014/05/08,356,4175,11586
2014/05/09,356,4171,11582
2014/05/10,363,4176,11528
2014/05/11,361,4196,11556
2014/05/12,377,4211,11592
2014/05/13,371,4220,11608
2014/05/14,363,4212,11550
2014/05/15,359,4231,11628
2014/05/16,354,4235,11596
2014/05/17,355,4250,11613
2014/05/18,359,4250,11639
2014/05/19,360,4273,11714
2014/05/20,363,4249,11705
2014/05/21,363,4235,11689
2014/05/22,360,4224,11728
2014/05/23,355,4182,11708
2014/05/24,355,4177,11669
2014/05/25,356,4194,11705
2014/05/26,361,4202,11757
2014/05/27,362,4192,11759
2014/05/28,358,4200,11783
2014/05/29,358,4178,11739
2014/05/30,351,4182,11709
2014/05/31,350,4197,11690
2014/06/01,352,4194,11741
2014/06/02,354,4207,11771
2014/06/03,361,4197,11759
2014/06/04,359,4189,11752
2014/06/05,359,4154,11718
2014/06/06,357,4161,11704
2014/06/07,361,4176,11680
2014/06/08,364,4196,11672
2014/06/09,364,4229,11727
2014/06/10,364,4215,11695
2014/06/11,366,4201,11700
2014/06/12,352,4188,11696
2014/06/13,361,4195,11671
2014/06/14,364,4193,11620
2014/06/15,367,4203,11634
2014/06/16,376,4177,11590
2014/06/17,364,4162,11578
2014/06/18,362,4130,11503
2014/06/19,363,4131,11529
2014/06/20,368,4112,11506
2014/06/21,364,4093,11491
2014/06/22,370,4104,11517
2014/06/23,371,4137,11527
2014/06/24,368,4121,11514
2014/06/25,366,4093,11450
2014/06/26,362,4107,11437
2014/06/27,365,4089,11390
2014/06/28,371,4093,11406
2014/06/29,370,4110,11405
2014/06/30,374,4119,11438
2014/07/01,374,4125,11404
2014/07/02,376,4131,11347
2014/07/03,375,4128,11340
2014/07/04,371,4140,11347
2014/07/05,366,4150,11326
2014/07/06,363,4154,11306
2014/07/07,361,4147,11328
2014/07/08,362,4135,11350
2014/07/09,364,4104,11306
2014/07/10,355,4127,11279
2014/07/11,353,4127,11261
2014/07/12,351,4125,11240
2014/07/13,345,4153,11297
2014/07/14,345,4150,11326
2014/07/15,347,4164,11363
2014/07/16,343,4181,11362
2014/07/17,337,4181,11345
2014/07/18,336,4180,11324
2014/07/19,339,4177,11322
2014/07/20,345,4203,11341
2014/07/21,349,4202,11378
2014/07/22,351,4199,11411
2014/07/23,348,4161,11407
2014/07/24,352,4175,11377
2014/07/25,347,4172,11391
2014/07/26,342,4184,11405
2014/07/27,344,4179,11459
2014/07/28,357,4181,11459
2014/07/29,347,4182,11463
2014/07/30,343,4168,11458
2014/07/31,340,4191,11458
2014/08/01,341,4172,11439
2014/08/02,347,4182,11425
2014/08/03,354,4172,11435
2014/08/04,360,4161,11439
2014/08/05,359,4157,11448
2014/08/06,355,4141,11453
2014/08/07,355,4150,11458
2014/08/08,353,4149,11446
2014/08/09,347,4160,11456
2014/08/10,357,4160,11473
2014/08/11,356,4155,11486
2014/08/12,358,4162,11503
2014/08/13,358,4143,11498
2014/08/14,352,4105,11452
2014/08/15,353,4099,11452
2014/08/16,355,4097,11469
2014/08/17,355,4112,11479
2014/08/18,358,4117,11477
2014/08/19,356,4134,11508
2014/08/20,353,4112,11513
2014/08/21,348,4110,11521
2014/08/22,343,4108,11528
2014/08/23,341,4136,11551
2014/08/24,338,4137,11498
2014/08/25,342,4149,11494
2014/08/26,329,4145,11556
2014/08/27,329,4122,11588
2014/08/28,328,4118,11581
2014/08/29,330,4117,11600
2014/08/30,326,4134,11625
2014/08/31,325,4157,11653
2014/09/01,335,4165,11695
2014/09/02,333,4155,11734
2014/09/03,328,4180,11735
2014/09/04,328,4184,11762
2014/09/05,328,4189,11763
2014/09/06,328,4176,11752
2014/09/07,328,4176,11775
2014/09/08,327,4216,11822
2014/09/09,327,4220,11795
2014/09/10,323,4202,11765
2014/09/11,309,4175,11739
2014/09/12,303,4187,11697
2014/09/13,306,4183,11694
2014/09/14,313,4182,11673
2014/09/15,312,4163,11663
2014/09/16,308,4157,11693
2014/09/17,301,4153,11755
2014/09/18,307,4162,11698
2014/09/19,306,4170,11699
2014/09/20,306,4153,11671
2014/09/21,312,4135,11632
2014/09/22,314,4143,11639
2014/09/23,320,4141,11671
2014/09/24,319,4152,11708
2014/09/25,319,4154,11681
2014/09/26,325,4155,11643
2014/09/27,317,4123,11597
2014/09/28,324,4116,11584
2014/09/29,328,4123,11558
2014/09/30,331,4102,11563
2014/10/01,334,4109,11551
2014/10/02,337,4114,11579
2014/10/03,338,4110,11591
2014/10/04,335,4120,11565
2014/10/05,340,4134,11626
2014/10/06,344,4176,11716
2014/10/07,339,4196,11753
2014/10/08,348,4157,11731
2014/10/09,350,4157,11757
2014/10/10,347,4148,11742
2014/10/11,352,4152,11741
2014/10/12,361,4169,11759
2014/10/13,361,4190,11767
2014/10/14,364,4212,11867
2014/10/15,360,4192,11836
2014/10/16,355,4185,11822
2014/10/17,353,4192,11778
2014/10/18,346,4185,11746
2014/10/19,347,4180,11708
2014/10/20,350,4193,11708
2014/10/21,345,4190,11737
2014/10/22,345,4171,11720
2014/10/23,348,4188,11707
2014/10/24,340,4186,11671
2014/10/25,341,4189,11627
2014/10/26,344,4215,11647
2014/10/27,346,4209,11647
2014/10/28,342,4203,11624
2014/10/29,337,4195,11604
2014/10/30,343,4189,11583
2014/10/31,339,4167,11543
2014/11/01,340,4166,11524
2014/11/02,338,4171,11538
2014/11/03,336,4173,11532
2014/11/04,329,4140,11489
2014/11/05,322,4094,11391
2014/11/06,316,4087,11373
2014/11/07,314,4064,11329
2014/11/08,310,4059,11289
2014/11/09,313,4064,11304
2014/11/10,311,4075,11312
2014/11/11,311,4072,11340
2014/11/12,312,4050,11306
2014/11/13,311,4024,11204
2014/11/14,311,4007,11175
2014/11/15,308,3997,11164
2014/11/16,307,4015,11161
2014/11/17,309,4016,11181
2014/11/18,304,4010,11177
2014/11/19,302,4019,11191
2014/11/20,305,4019,11174
2014/11/21,303,4000,11174
2014/11/22,293,3965,11107
2014/11/23,306,3966,11122
2014/11/24,313,3984,11164
2014/11/25,315,3985,11158
2014/11/26,310,3966,11134
2014/11/27,313,3971,11125
2014/11/28,303,3976,11132
2014/11/29,307,3971,11097
2014/11/30,306,4005,11106
2014/12/01,303,4001,11117
2014/12/02,305,3989,11109
2014/12/03,304,3971,11106
2014/12/04,295,3980,11106
2014/12/05,296,3994,11145
2014/12/06,299,3999,11144
2014/12/07,299,4020,11149
2014/12/08,303,4030,11163
2014/12/09,303,4038,11139
2014/12/10,308,4045,11134
2014/12/11,310,4032,11106
2014/12/12,315,4036,11121
2014/12/13,318,4039,11106
2014/12/14,323,4058,11093
2014/12/15,324,4066,11102
2014/12/16,321,4051,11075
2014/12/17,312,4022,11078
2014/12/18,314,4023,11054
2014/12/19,312,4021,11029
2014/12/20,309,4012,11020
2014/12/21,314,4008,11023
2014/12/22,316,4017,11085
2014/12/23,313,4006,11064
2014/12/24,310,4017,11086
2014/12/25,313,3999,11054
2014/12/26,315,3999,11066
2014/12/27,315,4005,11080
2014/12/28,326,4016,11069
2014/12/29,328,4017,11086
2014/12/30,331,4037,11129
2014/12/31,324,4033,11125
2015/01/01,320,4033,11110
2015/01/02,321,4051,11125
2015/01/03,322,4052,11125
2015/01/04,326,4070,11107
2015/01/05,335,4093,11123
2015/01/06,331,4094,11161
2015/01/07,328,4105,11197
2015/01/08,328,4103,11215
2015/01/09,324,4105,11215
2015/01/10,325,4126,11257
2015/01/11,324,4135,11313
2015/01/12,332,4150,11378
2015/01/13,340,4168,11408
2015/01/14,345,4175,11451
2015/01/15,339,4205,11496
2015/01/16,340,4220,11550
2015/01/17,347,4268,11584
2015/01/18,354,4289,11643
2015/01/19,363,4333,11718
2015/01/20,359,4353,11767
2015/01/21,360,4376,11777
2015/01/22,360,4378,11797
2015/01/23,359,4354,11773
2015/01/24,360,4386,11835
2015/01/25,361,4388,11886
2015/01/26,360,4406,11918
2015/01/27,360,4407,11946
2015/01/28,355,4419,12013
2015/01/29,358,4421,12037
2015/01/30,360,4418,12023
2015/01/31,366,4419,12028
2015/02/01,373,4457,12063
2015/02/02,373,4472,12082
2015/02/03,370,4456,12084
2015/02/04,365,4431,12046
2015/02/05,369,4422,12012
2015/02/06,364,4422,11987
2015/02/07,363,4416,11953
2015/02/08,367,4441,11972
2015/02/09,370,4475,11978
2015/02/10,369,4448,11974
2015/02/11,365,4400,11973
2015/02/12,363,4395,11984
2015/02/13,364,4408,11996
2015/02/14,366,4390,11968
2015/02/15,365,4379,11971
2015/02/16,368,4354,11969
2015/02/17,367,4331,11973
2015/02/18,363,4314,11956
2015/02/19,362,4321,11933
2015/02/20,359,4321,11875
2015/02/21,358,4294,11854
2015/02/22,361,4321,11867
2015/02/23,367,4340,11943
2015/02/24,368,4347,11953
2015/02/25,362,4333,11948
2015/02/26,367,4332,11956
2015/02/27,372,4326,11922
2015/02/28,369,4316,11893
2015/03/01,382,4336,11929
2015/03/02,389,4354,11958
2015/03/03,389,4349,11976
2015/03/04,392,4337,11953
2015/03/05,396,4359,11940
