date,hakwiki (100+),hakwiki (5+),hakwiki (all)
2015/09/09,2,7,20
2015/09/10,3,6,20
2015/09/11,3,5,20
2015/09/12,3,6,20
2015/09/13,3,6,19
2015/09/14,3,4,17
2015/09/15,3,5,17
2015/09/16,3,5,17
2015/09/17,3,5,18
2015/09/18,3,5,17
2015/09/19,3,5,15
2015/09/20,3,6,16
2015/09/21,3,6,16
2015/09/22,3,7,17
2015/09/23,3,7,17
2015/09/24,3,7,17
2015/09/25,3,7,16
2015/09/26,3,7,15
2015/09/27,3,7,16
2015/09/28,3,7,16
2015/09/29,3,8,17
2015/09/30,4,9,18
2015/10/01,4,10,19
2015/10/02,4,10,19
2015/10/03,3,10,19
2015/10/04,3,10,19
2015/10/05,3,10,19
2015/10/06,4,11,18
2015/10/07,4,11,18
2015/10/08,4,11,18
2015/10/09,4,11,19
2015/10/10,4,10,19
2015/10/11,4,10,19
2015/10/12,4,10,20
2015/10/13,4,10,20
2015/10/14,4,11,21
2015/10/15,4,11,21
2015/10/16,4,10,20
2015/10/17,4,10,20
2015/10/18,4,10,22
2015/10/19,4,10,23
2015/10/20,4,11,26
2015/10/21,4,11,24
2015/10/22,4,10,24
2015/10/23,4,10,25
2015/10/24,5,11,26
2015/10/25,5,12,26
2015/10/26,5,11,26
2015/10/27,5,11,25
2015/10/28,5,11,25
2015/10/29,5,11,25
2015/10/30,5,10,24
2015/10/31,5,9,23
2015/11/01,5,9,22
2015/11/02,5,9,22
2015/11/03,5,8,20
2015/11/04,6,9,21
2015/11/05,5,8,20
2015/11/06,5,8,19
2015/11/07,5,9,19
2015/11/08,5,9,19
2015/11/09,5,10,18
2015/11/10,5,9,18
2015/11/11,4,9,18
2015/11/12,5,10,19
2015/11/13,4,9,18
2015/11/14,4,9,18
2015/11/15,4,9,18
2015/11/16,4,9,18
2015/11/17,4,9,16
2015/11/18,4,9,16
2015/11/19,4,9,14
2015/11/20,4,9,13
2015/11/21,4,9,12
2015/11/22,3,9,12
2015/11/23,2,8,12
2015/11/24,2,7,11
2015/11/25,1,6,10
2015/11/26,1,6,11
2015/11/27,1,6,11
2015/11/28,1,6,13
2015/11/29,1,6,13
2015/11/30,1,6,13
2015/12/01,1,6,15
2015/12/02,1,6,15
2015/12/03,1,6,15
2015/12/04,,5,15
2015/12/05,1,6,16
2015/12/06,1,6,17
2015/12/07,1,5,17
2015/12/08,1,5,17
2015/12/09,1,4,17
2015/12/10,1,4,16
2015/12/11,1,4,15
2015/12/12,1,3,14
2015/12/13,1,3,14
2015/12/14,1,2,12
2015/12/15,1,2,12
2015/12/16,1,2,12
2015/12/17,1,2,12
2016/01/18,1,3,16
2016/01/19,1,3,15
2016/01/20,,3,14
2016/01/21,,3,14
2016/01/22,,2,13
2016/01/23,,2,12
2016/01/24,,4,13
2016/01/25,,4,14
2016/01/26,,5,15
2016/01/27,,5,15
2016/01/28,,5,13
2016/01/29,,5,12
2016/01/30,,5,14
2016/01/31,,6,14
2016/02/01,1,6,14
2016/02/02,1,6,14
2016/02/03,1,6,15
2016/02/04,1,6,14
2016/02/05,1,6,15
2016/02/06,1,6,15
2016/02/07,1,6,16
2016/02/08,1,6,16
2016/02/09,1,6,16
2016/02/10,1,7,16
2016/02/11,1,7,16
2016/02/12,1,8,18
2016/02/13,1,8,18
2016/02/14,1,8,18
2016/02/15,1,9,15
2016/02/16,1,9,15
2016/02/17,1,9,15
2016/02/18,1,9,15
2016/02/19,1,8,15
2016/02/20,1,8,15
2016/02/21,1,8,15
2016/02/22,1,8,16
2016/02/23,1,7,16
2016/02/24,1,7,15
2016/02/25,1,6,15
2016/02/26,1,6,15
2016/02/27,1,6,15
2016/02/28,1,6,16
2016/02/29,1,6,16
2016/03/01,1,6,17
2016/03/02,1,6,17
2016/03/03,1,6,17
2016/03/04,1,6,17
2016/03/05,1,7,18
2016/03/06,1,7,18
2016/03/07,1,7,18
2016/03/08,1,7,18
2016/03/09,1,7,17
2016/03/10,1,7,17
2016/03/11,1,6,17
2016/03/12,1,6,17
2016/03/13,1,4,19
2016/03/14,1,3,19
2016/03/15,1,3,20
2016/03/16,1,3,20
2016/03/17,1,3,20
2016/03/18,1,3,21
2016/03/19,1,3,22
2016/03/20,1,4,21
2016/03/21,1,4,21
2016/03/22,1,4,22
2016/03/23,1,4,20
2016/03/24,1,4,19
2016/03/25,1,4,19
2016/03/26,,5,19
2016/03/27,,5,19
2016/03/28,,5,20
2016/03/29,,5,19
2016/03/30,,4,19
2016/03/31,,5,18
2016/04/01,,5,18
2016/04/02,,6,19
2016/04/03,,5,19
2016/04/04,,4,18
2016/04/05,,4,17
2016/04/06,,4,18
2016/04/07,,4,17
2016/04/08,,5,17
2016/04/09,,5,17
2016/04/10,,5,18
2016/04/11,,7,18
2016/04/12,,7,17
2016/04/13,,7,16
2016/04/14,,7,15
2016/04/15,,7,15
2016/04/16,,7,16
2016/04/17,,7,16
2016/04/18,,7,16
2016/04/19,,7,17
2016/04/20,,7,17
2016/04/21,,7,17
2016/04/22,,7,17
2016/04/23,,7,17
2016/04/24,,7,18
2016/04/25,,6,18
2016/04/26,,6,18
2016/04/27,,5,18
2016/04/28,,5,18
2016/04/29,,4,17
2016/04/30,,4,16
2016/05/01,,4,16
2016/05/02,,3,15
2016/05/03,,3,14
2016/05/04,,2,14
2016/05/05,,2,14
2016/05/06,,2,14
2016/05/07,,2,14
2016/05/08,,2,14
2016/05/09,,2,14
2016/05/10,,2,14
2016/05/11,,1,13
2016/05/12,,1,13
2016/05/13,,1,12
2016/05/14,,1,12
2016/05/15,,1,14
2016/05/16,,1,13
2016/05/17,,1,12
2016/05/18,,1,12
2016/05/19,,1,9
2016/05/20,,1,9
2016/05/21,,1,10
2016/05/22,,1,11
2016/05/23,,1,11
2016/05/24,,1,11
2016/05/25,,1,11
2016/05/26,,1,12
2016/05/27,,1,11
2016/05/28,,1,11
2016/05/29,,1,11
2016/05/30,,1,11
2016/05/31,,1,11
2016/06/01,,1,12
2016/06/02,,1,12
2016/06/03,,1,12
2016/06/04,,1,15
2016/06/05,,1,15
2016/06/06,,1,15
2016/06/07,,1,15
2016/06/08,,,15
2016/06/09,,,15
2016/06/10,,,15
2016/06/11,,1,15
2016/06/12,1,2,17
2016/06/13,1,2,16
2016/06/14,1,3,16
2016/06/15,1,3,16
2016/06/16,1,3,15
2016/06/17,1,3,15
2016/06/18,1,3,15
2016/06/19,1,3,15
2016/06/20,1,4,14
2016/06/21,1,5,14
2016/06/22,2,5,14
2016/06/23,2,5,15
2016/06/24,2,5,17
2016/06/25,2,5,16
2016/06/26,2,5,16
2016/06/27,2,5,17
2016/06/28,2,5,17
2016/06/29,2,5,16
2016/06/30,2,5,16
2016/07/01,2,5,16
2016/07/02,2,5,15
2016/07/03,2,5,15
2016/07/04,2,5,12
2016/07/05,2,5,12
2016/07/06,2,5,13
2016/07/07,2,5,13
2016/07/08,2,5,13
2016/07/09,2,5,13
2016/07/10,2,5,13
2016/07/11,2,5,13
2016/07/12,1,4,12
2016/07/13,1,3,12
2016/07/14,1,2,13
2016/07/15,1,2,12
2016/07/16,1,3,13
2016/07/17,1,3,13
2016/07/18,1,3,13
2016/07/19,1,3,13
2016/07/20,1,2,12
2016/07/21,1,2,13
2016/07/22,,1,15
2016/07/23,,1,14
2016/07/24,,2,13
2016/07/25,,2,14
2016/07/26,,2,13
2016/07/27,,2,12
2016/07/28,,2,12
2016/07/29,,2,12
2016/07/30,,2,11
2016/07/31,,2,11
2016/08/01,,2,12
2016/08/02,,2,12
2016/08/03,,2,12
2016/08/04,,2,13
2016/08/05,,2,12
2016/08/06,,2,12
2016/08/07,,3,13
2016/08/08,,3,14
2016/08/09,,3,15
2016/08/10,,3,15
2016/08/11,,3,15
2016/08/12,,3,16
2016/08/13,,2,17
2016/08/14,,2,18
2016/08/15,,2,17
2016/08/16,,2,17
2016/08/17,,2,17
2016/08/18,,2,17
2016/08/19,,2,17
2016/08/20,,3,16
2016/08/21,,3,15
2016/08/22,,3,15
2016/08/23,,3,15
2016/08/24,,3,14
2016/08/25,1,3,14
2016/08/26,1,3,14
2016/08/27,2,4,16
2016/08/28,2,4,18
2016/08/29,2,4,18
2016/08/30,2,4,19
2016/08/31,2,4,19
2016/09/01,2,4,19
2016/09/02,2,4,19
2016/09/03,2,4,18
2016/09/04,2,4,18
2016/09/05,2,4,18
