date,wowiki (100+),wowiki (5+),wowiki (all)
2015/10/28,,2,15
2015/10/29,,2,15
2015/10/30,,1,16
2015/10/31,,1,15
2015/11/01,,1,16
2015/11/02,,1,16
2015/11/03,,1,15
2015/11/04,,1,15
2015/11/05,,1,15
2015/11/06,,1,15
2015/11/07,,1,15
2015/11/08,,1,15
2015/11/09,,1,14
2015/11/10,,1,14
2015/11/11,,,14
2015/11/12,,,14
2015/11/13,,,13
2015/11/14,,,12
2015/11/15,,,10
2015/11/16,,,9
2015/11/17,,,8
2015/11/18,,,7
2015/11/19,,,7
2015/11/20,,,7
2015/11/21,,,8
2015/11/22,,,8
2015/11/23,,,7
2015/11/24,,,7
2015/11/25,,,7
2015/11/26,,,7
2015/11/27,,,7
2015/11/28,,,8
2015/11/29,,,6
2015/11/30,,,6
2015/12/01,,,5
2015/12/02,,,4
2015/12/03,,,3
2015/12/04,,,3
2015/12/05,,,3
2015/12/06,,,4
2015/12/07,,,4
2015/12/08,,,4
2015/12/09,,,4
2015/12/10,,,5
2015/12/11,,,5
2015/12/12,,,4
2015/12/13,,,4
2015/12/14,,,4
2015/12/15,,,4
2015/12/16,,,4
2015/12/17,,,4
2016/01/18,,2,7
2016/01/19,,2,7
2016/01/20,,2,7
2016/01/21,,2,7
2016/01/22,,2,8
2016/01/23,,2,7
2016/01/24,,2,7
2016/01/25,,2,7
2016/01/26,,2,7
2016/01/27,,2,7
2016/01/28,,2,7
2016/01/29,,2,6
2016/01/30,,1,5
2016/01/31,,1,5
2016/02/01,,1,5
2016/02/02,,1,4
2016/02/03,,1,6
2016/02/04,,1,8
2016/02/05,,2,9
2016/02/06,,2,9
2016/02/07,,2,9
2016/02/08,,2,9
2016/02/09,,1,9
2016/02/10,,2,9
2016/02/11,,2,9
2016/02/12,,2,9
2016/02/13,,2,9
2016/02/14,,2,9
2016/02/15,,2,10
2016/02/16,,2,10
2016/02/17,,2,10
2016/02/18,,2,10
2016/02/19,,2,10
2016/02/20,,2,10
2016/02/21,,2,9
2016/02/22,,2,9
2016/02/23,,2,8
2016/02/24,,2,8
2016/02/25,,2,8
2016/02/26,,2,9
2016/02/27,,2,9
2016/02/28,,2,9
2016/02/29,,2,9
2016/03/01,,2,9
2016/03/02,,2,10
2016/03/03,,2,10
2016/03/04,,2,8
2016/03/05,,2,8
2016/03/06,,1,7
2016/03/07,,1,7
2016/03/08,,1,7
2016/03/09,,1,7
2016/03/10,,,7
2016/03/11,,,6
2016/03/12,,,6
2016/03/13,,,7
2016/03/14,,,8
2016/03/15,,,8
2016/03/16,,,7
2016/03/17,,,7
2016/03/18,,,7
2016/03/19,,,7
2016/03/20,,,7
2016/03/21,,,6
2016/03/22,,,6
2016/03/23,,,6
2016/03/24,,,6
2016/03/25,,,6
2016/03/26,,,6
2016/03/27,,1,6
2016/03/28,,1,7
2016/03/29,,1,8
2016/03/30,,2,10
2016/03/31,,2,10
2016/04/01,,2,9
2016/04/02,,2,9
2016/04/03,,2,9
2016/04/04,,2,8
2016/04/05,,2,9
2016/04/06,,2,9
2016/04/07,,2,9
2016/04/08,,2,9
2016/04/09,,2,9
2016/04/10,,2,9
2016/04/11,,2,9
2016/04/12,,2,8
2016/04/13,,2,7
2016/04/14,,2,7
2016/04/15,,2,7
2016/04/16,,2,8
2016/04/17,,2,8
2016/04/18,,2,9
2016/04/19,,2,9
2016/04/20,,2,9
2016/04/21,,2,9
2016/04/22,,2,9
2016/04/23,,2,9
2016/04/24,,2,9
2016/04/25,,2,9
2016/04/26,,1,9
2016/04/27,,1,8
2016/04/28,,1,7
2016/04/29,,,4
2016/04/30,,,4
2016/05/01,,,4
2016/05/02,,,4
2016/05/03,,,4
2016/05/04,,,4
2016/05/05,,,3
2016/05/06,,,3
2016/05/07,,,2
2016/05/08,,,2
2016/05/09,,,2
2016/05/10,,,3
2016/05/11,,,3
2016/05/12,,,3
2016/05/13,,,4
2016/05/14,,,4
2016/05/15,,,4
2016/05/16,,,3
2016/05/17,,,3
2016/05/18,,,2
2016/05/19,,,2
2016/05/20,,,2
2016/05/21,,,2
2016/05/22,,,2
2016/05/23,,,2
2016/05/24,,,3
2016/05/25,,,3
2016/05/26,,,3
2016/05/27,,,4
2016/05/28,,,3
2016/05/29,,,3
2016/05/30,,,3
2016/05/31,,,3
2016/06/01,,,3
2016/06/02,,,3
2016/06/03,,,4
2016/06/04,,,4
2016/06/05,,,4
2016/06/06,,,5
2016/06/07,,,5
2016/06/08,,,5
2016/06/09,,,4
2016/06/10,,,4
2016/06/11,,,4
2016/06/12,,,3
2016/06/13,,,3
2016/06/14,,,3
2016/06/15,,,3
2016/06/16,,,3
2016/06/17,,,3
2016/06/18,,,3
2016/06/19,,,3
2016/06/20,,,3
2016/06/21,,,3
2016/06/22,,,3
2016/06/23,,,2
2016/06/24,,,2
2016/06/25,,,2
2016/06/26,,,2
2016/06/27,,,2
2016/06/28,,,2
2016/06/29,,,2
2016/06/30,,,2
2016/07/01,,,3
2016/07/02,,,3
2016/07/03,,,2
2016/07/04,,,2
2016/07/05,,,2
2016/07/06,,,2
2016/07/07,,,2
2016/07/08,,,2
2016/07/09,,,2
2016/07/10,,,2
2016/07/11,,,3
2016/07/12,,,3
2016/07/13,,,3
2016/07/14,,,3
2016/07/15,,,3
2016/07/16,,,3
2016/07/17,,,3
2016/07/18,,,3
2016/07/19,,,3
2016/07/20,,,3
2016/07/21,,,3
2016/07/22,,,3
2016/07/23,,,3
2016/07/24,,,3
2016/07/25,,,3
2016/07/26,,,3
2016/07/27,,,3
2016/07/28,,,3
2016/07/29,,,4
2016/07/30,,,5
2016/07/31,,,4
2016/08/01,,,4
2016/08/02,,,4
2016/08/03,,,4
2016/08/04,,,4
2016/08/05,,,4
2016/08/06,,,4
2016/08/07,,,5
2016/08/08,,,5
2016/08/09,,,5
2016/08/10,,,4
2016/08/11,,,4
2016/08/12,,,5
